age,np,male,female
0,3,0.01016,0.01016
1,3,0.01015,0.01015
2,3,0.01014,0.01014
3,3,0.01013,0.01013
4,3,0.01012,0.01012
5,3,0.01012,0.01012
6,3,0.01012,0.01012
7,3,0.01012,0.01012
8,3,0.01012,0.01012
9,3,0.01012,0.01012
10,3,0.01012,0.01012
11,3,0.01012,0.01012
12,3,0.01012,0.01012
13,3,0.01012,0.01012
14,3,0.01013,0.01013
15,3,0.01013,0.01013
16,3,0.01014,0.01014
17,3,0.01015,0.01015
18,3,0.01015,0.01015
19,3,0.01016,0.01016
20,3,0.01016,0.01016
21,3,0.01016,0.01016
22,3,0.01017,0.01017
23,3,0.01017,0.01017
24,3,0.01017,0.01017
25,3,0.01017,0.01017
26,3,0.01018,0.01018
27,3,0.01018,0.01018
28,3,0.01018,0.01018
29,3,0.01019,0.01019
30,3,0.01019,0.01019
31,3,0.01019,0.01019
32,3,0.0102,0.0102
33,3,0.01021,0.01021
34,3,0.01021,0.01021
35,3,0.01022,0.01022
36,3,0.01023,0.01023
37,3,0.01024,0.01024
38,3,0.01025,0.01025
39,3,0.01026,0.01026
40,3,0.01028,0.01028
41,3,0.01029,0.01029
42,3,0.0103,0.0103
43,3,0.01032,0.01032
44,3,0.01034,0.01034
45,3,0.01035,0.01035
46,3,0.01038,0.01038
47,3,0.01041,0.01041
48,3,0.01044,0.01044
49,3,0.01047,0.01047
50,3,0.0105,0.0105
51,3,0.01054,0.01054
52,3,0.01058,0.01058
53,3,0.01062,0.01062
54,3,0.01067,0.01067
55,3,0.01074,0.01074
56,3,0.01082,0.01082
57,3,0.01092,0.01092
58,3,0.01104,0.01104
59,3,0.01116,0.01116
60,3,0.01128,0.01128
61,3,0.01141,0.01141
62,3,0.01156,0.01156
63,3,0.01172,0.01172
64,3,0.0119,0.0119
65,3,0.0121,0.0121
66,3,0.00968,0.00968
67,3,0.00993,0.00993
68,3,0.01021,0.01021
69,3,0.01051,0.01051
70,3,0.01084,0.01084
